Numéro du groupe;Femmes;Hommes;Enfants;WCHR;WCHB;Classe;TransitTime
1;;1;;;;Y;00:00:00
2;1;;;;;Y;02:20:00
3;1;1;;;;Y;00:55:00
4;;1;;;;Y;00:00:00
5;1;;;;;Y;00:00:00
6;1;;1;;;Y;00:55:00
7;;1;;;;Y;00:00:00
8;;2;;;;Y;01:30:00
9;;1;;;;Y;00:00:00
10;;1;;;;Y;00:00:00
11;1;;;;;Y;02:10:00
12;;1;;;;Y;02:10:00
13;1;;;;;Y;01:10:00
14;1;1;;;;Y;00:55:00
15;;1;;;;Y;00:00:00
16;1;;;;;Y;02:20:00
17;1;;;;;Y;00:00:00
18;1;;;;;Y;00:00:00
19;1;;;;;Y;02:15:00
20;1;;;;;Y;00:00:00
21;;1;;;;Y;01:20:00
22;;1;;;;Y;00:00:00
23;1;;;;;Y;00:00:00
24;;1;;;;Y;01:20:00
25;;1;;;;Y;00:00:00
26;;2;;;;Y;01:20:00
27;1;1;;;;Y;00:00:00
28;2;;17;;;Y;01:00:00
29;1;;;;;Y;00:00:00
30;1;;;;;Y;01:35:00
31;;1;;;;Y;02:00:00
32;;1;;;;Y;00:00:00
33;1;;;;;Y;01:10:00
34;2;;;;;Y;01:15:00
35;1;;;;;Y;00:00:00
36;1;1;;;;Y;01:20:00
37;1;1;;;;Y;01:40:00
38;1;;;;;Y;01:20:00
39;;1;;;;Y;00:00:00
40;;1;;;;Y;00:00:00
41;;1;;;;Y;01:00:00
42;1;;;;;Y;01:45:00
43;1;1;;;;Y;01:45:00
44;1;1;;;;Y;01:45:00
45;1;;;;;Y;00:00:00
46;;1;;;;Y;00:00:00
47;3;;;;;Y;01:20:00
48;1;;;;;Y;00:00:00
49;;1;;;;Y;02:10:00
50;;1;;;;Y;00:00:00
51;1;;;;;Y;00:00:00
52;;1;;;;Y;00:00:00
53;;1;;;;Y;00:00:00
54;;1;;;;Y;01:35:00
55;1;1;;;;Y;01:10:00
56;1;;;;;Y;00:00:00
57;1;;;;;Y;00:00:00
58;;1;;;;Y;00:00:00
59;;1;;;;Y;02:20:00
60;1;;;;;Y;00:00:00
61;;1;;;;Y;00:00:00
62;2;;;;;Y;00:45:00
63;1;1;;;;Y;01:15:00
64;1;;;;;Y;01:50:00
65;;2;;;;Y;01:10:00
66;1;1;;;;Y;01:20:00
67;1;1;;;;Y;01:05:00
68;1;;;;;Y;00:00:00
69;;1;;;;Y;01:30:00
70;;1;;;;Y;00:00:00
71;1;;;;;Y;00:00:00
72;1;1;;;;Y;00:45:00
73;1;;;;;Y;00:00:00
74;1;;;;;Y;00:00:00
75;1;;;;;Y;00:00:00
76;1;1;;;;Y;01:10:00
77;1;;;;;Y;01:10:00
78;;1;;;;Y;00:00:00
79;2;;;;;Y;01:25:00
80;;2;;;;Y;00:55:00
81;;1;;;;Y;02:20:00
82;;1;;;;Y;01:30:00
83;1;;;;;Y;00:00:00
84;;1;;;;Y;00:00:00
85;1;1;;;;Y;01:00:00
86;1;;;;;Y;02:20:00
87;;1;;;;Y;00:00:00
88;1;;;;;Y;00:00:00
89;;1;;;;Y;02:20:00
90;1;;;;;Y;00:00:00
91;;2;;;;Y;00:55:00
92;;1;;;;Y;00:00:00
93;1;;;;;Y;00:00:00
94;;1;;;;Y;01:10:00
95;1;;;;;Y;00:50:00
96;;1;;;;Y;00:00:00
97;;1;;;;Y;02:20:00
98;1;;;;;Y;01:00:00
99;;1;;;;Y;02:20:00
100;;1;;;;Y;02:20:00
101;;1;;;;Y;02:15:00
102;1;;;;;Y;02:00:00
103;1;;;;;Y;00:00:00
104;;1;;;;Y;00:00:00
105;;1;;;;Y;01:30:00
106;1;;;;;Y;02:25:00
107;2;;;;;Y;01:00:00
108;1;;;;;Y;03:30:00
109;1;1;2;;;Y;01:05:00
110;1;;;;;Y;01:10:00
111;;1;;;;Y;02:40:00
112;;2;;;;Y;01:55:00
113;;1;;;;Y;00:00:00
114;;1;;;;Y;01:30:00
115;3;;;;;Y;01:00:00
116;1;;;;;Y;05:25:00
117;2;;;;;Y;01:05:00
118;1;;;;;Y;01:35:00
119;;1;;;;Y;01:35:00
120;;1;;;;Y;00:00:00
121;1;1;;;;Y;01:25:00
