Numéro du groupe;Femmes;Hommes;Enfants;WCHR;WCHB;Classe;TransitTime
1;1;1;3;;;Y;01:10:00
2;1;1;;;;Y;01:10:00
3;1;1;;;;Y;01:00:00
4;1;1;2;;;Y;00:00:00
5;1;;;;;Y;00:00:00
6;;5;;;;Y;02:00:00
7;;1;;;;Y;00:00:00
8;;1;;;;Y;00:00:00
9;1;1;;;;Y;00:00:00
10;4;4;6;;;Y;01:30:00
11;1;;;;;Y;01:30:00
12;1;1;1;;;Y;01:05:00
13;1;;;;;Y;01:35:00
14;;1;;;;Y;00:00:00
15;;1;;;;Y;00:00:00
16;;1;;;;Y;00:00:00
17;1;;;;;Y;00:00:00
18;;1;;;;Y;01:10:00
19;1;;;;;Y;00:00:00
20;1;1;;;;Y;01:20:00
21;;1;;;;Y;00:00:00
22;;1;;;;Y;00:00:00
23;1;;;;;Y;07:25:00
24;2;;;;;Y;00:00:00
25;1;;;;;Y;00:00:00
26;;1;;;;Y;00:00:00
27;;1;;;;Y;00:00:00
28;1;;;;;Y;00:00:00
29;1;1;;;;Y;00:00:00
30;1;;;;;Y;00:00:00
31;1;;;;;Y;01:35:00
32;1;;;;;Y;00:00:00
33;1;1;;;;Y;03:30:00
34;1;;;;;Y;01:00:00
35;1;;;;;Y;02:20:00
36;1;1;;;;Y;02:00:00
37;;1;;;;Y;01:30:00
38;;1;;;;Y;00:00:00
39;1;;;;;Y;00:00:00
40;;1;;;;Y;00:00:00
41;;1;;;;Y;00:00:00
42;;1;;;;Y;00:00:00
43;1;1;;;;Y;00:00:00
44;;1;;;;Y;00:00:00
45;1;;;;;Y;00:00:00
46;;;1;;;Y;00:00:00
47;;1;;;;Y;00:00:00
48;1;;;;;Y;01:30:00
49;;1;;;;Y;00:00:00
50;1;;;;;Y;00:00:00
51;1;;;;;Y;00:00:00
52;1;1;1;;;Y;02:15:00
53;1;;;;;Y;00:00:00
54;1;;;;;Y;00:00:00
55;;1;;;;Y;00:00:00
56;2;;2;;;Y;00:00:00
57;;1;;;;Y;00:00:00
58;1;;;;;Y;00:00:00
59;1;;;;;Y;00:00:00
60;;1;;;;Y;02:15:00
61;1;;;;;Y;00:00:00
62;1;1;;;;Y;02:15:00
63;;1;;;;Y;00:00:00
64;1;;1;;;Y;00:00:00
65;1;1;;;;Y;00:00:00
66;1;;;;;Y;00:00:00
67;1;;;;;Y;00:00:00
68;;1;;;;Y;02:00:00
69;;1;;;;Y;00:00:00
70;;1;;;;Y;00:00:00
71;;1;;;;Y;00:00:00
72;;1;;;;Y;00:00:00
73;1;;;;;Y;00:00:00
74;1;;;;;Y;00:00:00
75;1;;;;;Y;00:00:00
76;1;1;;;;Y;00:00:00
77;;1;;;;Y;01:10:00
78;1;1;2;;;Y;02:00:00
79;12;;;;;Y;00:00:00
80;;1;;;;Y;02:00:00
81;1;1;2;;;Y;00:00:00
82;1;;;;;Y;03:30:00
83;1;;;;;Y;00:00:00
84;;6;2;;;Y;00:00:00
85;1;;;;;Y;00:00:00
86;1;;;;;Y;00:00:00
87;;1;;;;Y;02:15:00
88;1;;;;;Y;00:00:00
89;1;3;1;;;Y;00:45:00
90;;1;;;;Y;00:00:00
91;2;;;;;Y;00:00:00
