Numéro du groupe;Femmes;Hommes;Enfants;WCHR;WCHB;Classe;TransitTime
1;1;1;9;;;Y;00:00:00
2;;;6;;;Y;00:00:00
3;;1;2;;;Y;00:00:00
4;;;2;;;Y;00:00:00
5;;;1;;;Y;00:00:00
6;;1;2;;;Y;00:00:00
7;;1;2;;;Y;01:00:00
8;;;8;;;Y;00:00:00
9;;;2;;;Y;00:00:00
10;;2;;;;Y;01:00:00
11;;;1;;;Y;00:00:00
12;;1;;;;Y;00:00:00
13;;;1;;;Y;00:00:00
14;;;1;;;Y;00:00:00
15;;;1;;;Y;01:00:00
16;;;1;;;Y;00:00:00
17;1;;1;;;Y;00:00:00
18;1;;;;;Y;00:00:00
19;;;1;;;Y;00:00:00
20;;;1;;;Y;00:00:00
21;1;1;15;;;Y;01:25:00
22;2;;15;;;Y;00:00:00
23;;;1;;;Y;01:00:00
24;;;1;;;Y;01:25:00
25;1;;;;;Y;00:00:00
26;1;1;;;;Y;00:00:00
27;;1;;;;Y;00:00:00
28;;;1;;;Y;00:00:00
29;;;1;;;Y;00:00:00
30;;1;;;;Y;00:00:00
31;;;3;;;Y;01:25:00
32;;;1;;;Y;00:00:00
33;;;1;;;Y;01:25:00
34;;;1;;;Y;00:00:00
35;;;4;;;Y;01:00:00
36;;;2;;;Y;00:00:00
37;;;2;;;Y;00:00:00
38;1;;;;;Y;01:25:00
39;1;;;;;Y;00:00:00
40;;;1;;;Y;00:00:00
41;;;2;;;Y;01:25:00
42;;;1;;;Y;00:00:00
43;;2;;;;Y;00:00:00
44;;;1;;;Y;00:00:00
45;;;1;;;Y;00:00:00
46;;;1;;;Y;00:00:00
47;;;1;;;Y;00:00:00
48;;;1;;;Y;00:00:00
49;;1;1;;;Y;00:00:00
50;1;1;2;;;Y;00:00:00
51;1;;2;;;Y;00:00:00
52;1;;;;;Y;00:00:00
53;;;2;;;Y;01:00:00
54;;;1;;;Y;00:00:00
55;;;1;;;Y;01:25:00
56;;;1;;;Y;00:00:00
