passenger_id,seat_number,group,is_child,is_man,is_woman,is_wchr,is_wchb
0,21,[10],"(4.6948893974065635, 31.60183066361555)",0,0,0,0
1,94,1,0,0,1,0,0
2,96,1,0,1,0,0,0
3,95,1,1,0,0,0,0
4,28,2,0,1,0,0,0
5,40,3,0,0,1,0,0
6,41,3,0,1,0,0,0
7,87,4,0,1,0,0,0
8,86,4,1,0,0,0,0
9,88,4,0,0,0,1,0
10,51,5,0,0,1,0,0
11,49,5,0,0,1,0,0
12,50,5,0,0,1,0,0
13,15,6,0,0,1,0,0
14,13,6,0,1,0,0,0
15,3,7,0,0,1,0,0
16,1,7,0,1,0,0,0
17,42,8,1,0,0,0,0
18,21,9,0,0,1,0,0
19,22,9,0,0,1,0,0
20,19,9,0,1,0,0,0
21,20,9,0,1,0,0,0
22,126,10,0,0,1,0,0
23,100,11,0,0,1,0,0
24,48,12,0,1,0,0,0
25,47,12,0,1,0,0,0
26,61,13,0,1,0,0,0
27,81,14,0,1,0,0,0
28,79,14,0,1,0,0,0
29,80,14,0,1,0,0,0
30,101,15,0,0,1,0,0
31,102,15,0,0,1,0,0
32,29,16,0,0,1,0,0
33,85,17,0,0,1,0,0
34,108,18,0,1,0,0,0
35,107,18,1,0,0,0,0
36,78,19,0,1,0,0,0
37,121,20,0,0,1,0,0
38,122,20,0,1,0,0,0
39,90,21,0,1,0,0,0
40,67,22,0,1,0,0,0
41,54,23,0,0,1,0,0
42,52,23,0,0,1,0,0
43,53,23,0,1,0,0,0
44,125,24,0,0,1,0,0
45,124,24,0,1,0,0,0
46,25,25,0,0,1,0,0
47,114,26,0,0,1,0,0
48,113,26,0,0,1,0,0
49,10,27,0,1,0,0,0
50,12,28,0,1,0,0,0
51,30,29,0,1,0,0,0
52,32,30,0,0,1,0,0
53,33,30,0,1,0,0,0
54,46,31,0,0,1,0,0
55,45,31,0,1,0,0,0
56,43,31,0,1,0,0,0
57,44,31,1,0,0,0,0
58,76,32,0,1,0,0,0
59,77,32,0,1,0,0,0
60,73,32,0,1,0,0,0
61,74,32,0,1,0,0,0
62,75,32,0,1,0,0,0
63,57,33,0,1,0,0,0
64,59,33,0,1,0,0,0
65,58,33,0,1,0,0,0
66,60,33,0,1,0,0,0
67,26,34,0,0,1,0,0
68,27,34,0,1,0,0,0
69,55,35,0,0,1,0,0
70,56,35,0,1,0,0,0
71,23,36,0,0,1,0,0
72,24,36,0,0,1,0,0
73,120,37,0,1,0,0,0
74,84,38,0,1,0,0,0
75,72,39,0,0,1,0,0
76,70,39,0,0,0,1,0
77,112,40,0,0,1,0,0
78,110,40,0,0,0,0,1
79,66,41,0,1,0,0,0
80,36,42,0,1,0,0,0
81,118,43,0,0,1,0,0
82,117,43,0,0,1,0,0
83,116,43,0,0,1,0,0
84,115,43,0,0,1,0,0
85,119,43,0,0,1,0,0
86,35,44,0,0,1,0,0
87,34,44,0,0,1,0,0
88,31,45,0,1,0,0,0
89,37,46,0,0,1,0,0
90,39,46,0,1,0,0,0
91,38,46,1,0,0,0,0
92,7,47,0,0,1,0,0
93,18,48,0,0,1,0,0
94,69,49,0,0,0,1,0
95,4,50,0,0,1,0,0
96,9,51,0,1,0,0,0
97,16,52,0,0,1,0,0
98,6,53,0,0,1,0,0
