passenger_id,seat_number,group,is_child,is_man,is_woman,is_wchr,is_wchb
0,29,[14],"[4.018407960199005, 47.17313432835821]",0,0,0,0
1,12,1,0,0,1,0,0
2,10,1,0,1,0,0,0
3,4,2,0,0,1,0,0
4,6,2,0,1,0,0,0
5,13,3,0,1,0,0,0
6,3,4,0,0,1,0,0
7,1,4,1,0,0,0,0
8,19,5,0,1,0,0,0
9,65,6,0,0,1,0,0
10,64,6,0,0,1,0,0
11,162,7,0,0,1,0,0
12,52,8,0,0,1,0,0
13,57,8,0,1,0,0,0
14,51,8,1,0,0,0,0
15,58,8,1,0,0,0,0
16,53,8,1,0,0,0,0
17,113,9,0,0,1,0,0
18,112,9,0,0,1,0,0
19,111,9,0,1,0,0,0
20,114,9,1,0,0,0,0
21,102,10,0,1,0,0,0
22,140,11,0,1,0,0,0
23,107,12,0,0,1,0,0
24,106,12,0,0,1,0,0
25,108,12,0,0,1,0,0
26,105,12,0,0,1,0,0
27,38,13,0,0,1,0,0
28,39,13,0,0,1,0,0
29,37,13,1,0,0,0,0
30,137,14,0,1,0,0,0
31,138,14,0,1,0,0,0
32,50,15,0,0,1,0,0
33,54,16,0,0,1,0,0
34,147,17,0,1,0,0,0
35,153,18,0,1,0,0,0
36,44,19,0,0,1,0,0
37,119,20,0,0,1,0,0
38,152,21,0,0,1,0,0
39,174,22,0,0,1,0,0
40,173,22,0,1,0,0,0
41,172,22,1,0,0,0,0
42,60,23,0,0,1,0,0
43,59,23,0,0,1,0,0
44,156,24,0,0,1,0,0
45,109,25,0,0,1,0,0
46,110,25,0,1,0,0,0
47,122,26,0,0,1,0,0
48,125,26,0,0,1,0,0
49,124,26,0,0,1,0,0
50,121,26,0,0,1,0,0
51,131,26,0,0,1,0,0
52,130,26,0,0,1,0,0
53,123,26,0,0,1,0,0
54,127,26,0,0,1,0,0
55,126,26,0,0,1,0,0
56,128,26,0,0,1,0,0
57,129,26,0,0,1,0,0
58,40,27,0,1,0,0,0
59,42,27,0,1,0,0,0
60,41,27,0,1,0,0,0
61,63,28,0,1,0,0,0
62,70,29,0,1,0,0,0
63,33,30,0,1,0,0,0
64,35,31,0,0,1,0,0
65,34,31,0,0,1,0,0
66,36,31,1,0,0,0,0
67,31,32,0,0,1,0,0
68,155,33,0,0,1,0,0
69,154,33,0,1,0,0,0
70,141,34,0,0,1,0,0
71,136,34,0,0,1,0,0
72,135,34,0,1,0,0,0
73,142,34,1,0,0,0,0
74,98,35,0,1,0,0,0
75,117,36,0,0,1,0,0
76,167,37,0,0,1,0,0
77,86,38,0,0,1,0,0
78,85,38,0,1,0,0,0
79,87,38,0,1,0,0,0
80,56,39,0,0,1,0,0
81,55,39,0,0,1,0,0
82,21,40,0,1,0,0,0
83,83,41,0,0,1,0,0
84,80,41,0,0,1,0,0
85,82,41,0,0,1,0,0
86,81,41,0,1,0,0,0
87,79,41,0,1,0,0,0
88,69,42,0,1,0,0,0
89,67,42,0,1,0,0,0
90,68,42,0,1,0,0,0
91,46,43,0,1,0,0,0
92,47,43,0,1,0,0,0
93,48,43,0,1,0,0,0
94,45,43,0,1,0,0,0
95,61,44,0,0,1,0,0
96,134,45,0,1,0,0,0
97,75,46,0,1,0,0,0
98,166,47,0,0,1,0,0
99,24,48,0,0,1,0,0
100,15,49,0,0,1,0,0
101,73,50,0,0,1,0,0
102,148,51,0,0,1,0,0
103,150,51,1,0,0,0,0
104,149,51,1,0,0,0,0
105,103,52,0,1,0,0,0
106,146,53,0,1,0,0,0
107,145,53,0,1,0,0,0
108,95,54,0,0,1,0,0
109,93,54,0,0,1,0,0
110,91,54,0,0,1,0,0
111,99,54,0,1,0,0,0
112,101,54,0,1,0,0,0
113,94,54,0,1,0,0,0
114,100,54,1,0,0,0,0
115,96,54,1,0,0,0,0
116,92,54,1,0,0,0,0
117,72,55,0,1,0,0,0
118,71,55,0,1,0,0,0
119,115,56,0,1,0,0,0
120,164,57,0,0,1,0,0
121,163,57,0,0,1,0,0
122,66,58,0,0,1,0,0
123,29,59,0,1,0,0,0
124,30,59,0,1,0,0,0
125,43,60,0,0,1,0,0
126,18,61,0,0,1,0,0
127,16,61,1,0,0,0,0
128,159,62,0,1,0,0,0
129,28,63,0,1,0,0,0
130,160,64,0,1,0,0,0
131,132,65,0,1,0,0,0
132,133,66,0,1,0,0,0
133,165,67,0,1,0,0,0
134,62,68,0,1,0,0,0
135,26,69,0,0,1,0,0
136,27,69,1,0,0,0,0
137,25,69,1,0,0,0,0
138,32,70,0,0,1,0,0
139,139,71,0,1,0,0,0
140,97,72,0,1,0,0,0
141,168,73,0,0,1,0,0
142,74,74,0,0,1,0,0
143,120,75,0,0,1,0,0
144,158,76,0,0,1,0,0
145,88,77,0,0,1,0,0
146,84,77,0,1,0,0,0
147,89,77,1,0,0,0,0
148,90,77,1,0,0,0,0
149,143,78,0,0,1,0,0
150,144,78,1,0,0,0,0
151,170,79,0,0,1,0,0
152,169,79,0,1,0,0,0
153,49,80,0,1,0,0,0
154,77,81,0,0,1,0,0
155,78,81,0,0,1,0,0
156,76,81,1,0,0,0,0
157,171,82,0,0,1,0,0
158,161,83,0,1,0,0,0
159,118,84,0,1,0,0,0
